"co_code","date","open","high","low","close","mcap","volume"
"5400","2020-01-07","2200.5","2214.6500000000001","2183.8000000000002","2205.8499999999999","827719.78000000003","2429317"
"5400","2020-01-08","2205","2260","2202.0500000000002","2255.25","846256.56000000006","5197454"
"5400","2020-01-09","2248.75","2251.9499999999998","2210","2214.3499999999999","830909.31000000006","3734173"
"5400","2020-01-10","2228","2234","2208","2213.5500000000002","830609.12","1915807"
"5400","2020-01-13","2217.8499999999999","2218.9499999999998","2184.6999999999998","2190.3499999999999","821903.57999999996","2843893"
"5400","2020-01-14","2195","2229.8000000000002","2195","2206.9000000000001","828113.78000000003","2948452"
"5400","2020-01-15","2213","2231","2194.1999999999998","2226.9000000000001","835618.55000000005","2620681"
"5400","2020-01-16","2226.9499999999998","2249","2215","2238.8000000000002","840083.89000000001","3117214"
"5400","2020-01-17","2240.75","2253.5500000000002","2213","2219.0999999999999","832691.68999999994","3281059"
"5400","2020-01-20","2194.9000000000001","2242.1999999999998","2156.1999999999998","2170.3499999999999","814398.81000000006","5817599"
"5400","2020-01-21","2169.9499999999998","2186.5500000000002","2158.0500000000002","2171.0500000000002","814661.47999999998","1902980"
"5400","2020-01-22","2181","2210","2173.6999999999998","2206.9000000000001","828113.78000000003","1773686"
"5400","2020-01-23","2209.8000000000002","2217.75","2183.6999999999998","2190.9499999999998","822128.72999999998","2069866"
"5400","2020-01-24","2190.9499999999998","2190.9499999999998","2170","2183.4000000000001","819295.68000000005","1319430"
"5400","2020-01-27","2189.6999999999998","2193.4499999999998","2165","2169.25","813986.05000000005","1549101"
"5400","2020-01-30","2160","2165","2125","2137.8499999999999","802203.56000000006","2098567"
"5400","2020-01-28","2174","2187.8000000000002","2152","2183.75","819427.01000000001","1743024"
"5400","2020-01-29","2185","2186.9499999999998","2150","2154.5999999999999","808488.81000000006","2306761"
"5400","2020-02-01","2079.5","2180.6999999999998","2063.5999999999999","2164.8499999999999","812335","3319716"
"5400","2020-01-31","2139.4000000000001","2144.3499999999999","2071.5999999999999","2079.0500000000002","780139.54000000004","3287223"
"5400","2020-02-17","2196.9499999999998","2217","2190.1999999999998","2203.25","826744.16000000003","1774724"
"5400","2020-02-04","2129","2136.6999999999998","2086.5999999999999","2107.75","790908.89000000001","3509339"
"5400","2020-02-06","2145","2174.1999999999998","2115.5","2128.3499999999999","798638.80000000005","2640065"
"5400","2020-02-07","2139","2151","2119","2136.5500000000002","801715.75","2083442"
"5400","2020-02-10","2140.9000000000001","2167","2119","2161.9499999999998","811246.81000000006","2383032"
"5400","2020-02-13","2172.9499999999998","2197","2171","2191.9499999999998","822503.96999999997","1645948"
"5400","2020-02-03","2152","2194.6999999999998","2093.1999999999998","2102.5","788938.88","4728073"
"5400","2020-02-05","2115","2156.6999999999998","2104.3000000000002","2146.5500000000002","805468.14000000001","2439322"
"5400","2020-02-11","2163","2174.8000000000002","2147.5999999999999","2153.4000000000001","808038.52000000002","1335820"
"5400","2020-02-12","2151.0999999999999","2185","2150","2170.75","814548.91000000003","1620407"
"5400","2020-02-14","2188","2212","2171","2184.1999999999998","819595.87","1500115"
"5400","2020-02-19","2215.75","2230","2190.5","2196.3499999999999","824155.01000000001","1760463"
